word,source,date,title,frequency
dans,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
monde.,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
La,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
règle,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
mondial,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
est,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
aussi,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
appelée,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
«Mexico,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
City,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
